eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,total_timesteps,value_loss
6418.175438596491,351206.197707,0.028305768966674805,92,18900,2.757779598236084,378000,3.0256967544555664
6425.982758620689,353501.7641327069,0.08662444353103638,92,19000,3.072235584259033,380000,4.369902610778809
6425.982758620689,353501.7641327069,0.4639365077018738,92,19100,2.488997459411621,382000,0.9197176694869995
6425.982758620689,353501.7641327069,0.11709761619567871,92,19200,2.544844388961792,384000,0.6781444549560547
6425.982758620689,353501.7641327069,0.8316393941640854,92,19300,1.756368637084961,386000,0.06981421262025833
6425.982758620689,353501.7641327069,0.6600885093212128,92,19400,4.7714433670043945,388000,0.42859578132629395
6425.982758620689,353501.7641327069,0.2641286253929138,92,19500,4.095652103424072,390000,2.550218105316162
6425.982758620689,353501.7641327069,0.20722347497940063,93,19600,3.1162426471710205,392000,2.6750621795654297
6467.050847457627,359339.2901597457,0.8988063037395477,93,19700,4.566547870635986,394000,0.01085506659001112
6441.566666666667,370105.1723250833,-0.039392828941345215,93,19800,5.778836727142334,396000,3.787984848022461
6441.566666666667,370105.1723250833,0.04887247085571289,93,19900,4.740964412689209,398000,4.320730209350586
6424.508196721312,369273.0876990819,-0.11282229423522949,93,20000,3.502063035964966,400000,2.832780361175537
6424.508196721312,369273.0876990819,0.0494459867477417,93,20100,1.3859140872955322,402000,1.8129980564117432
6424.508196721312,369273.0876990819,0.32173269987106323,93,20200,1.1048263311386108,404000,1.1131458282470703
6424.508196721312,369273.0876990819,0.7760219573974609,93,20300,2.9431679248809814,406000,0.07846785336732864
6424.508196721312,369273.0876990819,-0.010184884071350098,93,20400,5.720641136169434,408000,2.887674570083618
6443.274193548387,368117.98871059675,-0.34534788131713867,93,20500,5.882536888122559,410000,5.285837650299072
6443.274193548387,368117.98871059675,0.6400977969169617,93,20600,5.432889461517334,412000,1.5752160549163818
6443.274193548387,368117.98871059675,0.10623431205749512,93,20700,1.3294769525527954,414000,5.017848014831543
6407.3015873015875,372321.89571941266,0.549885481595993,93,20800,1.01675283908844,416000,2.341385841369629
6407.3015873015875,372321.89571941266,-0.1550687551498413,93,20900,0.5391231775283813,418000,9.757641792297363
6401.71875,381952.5209376406,0.7076142132282257,93,21000,0.16626758873462677,420000,1.9668277502059937
6401.71875,381952.5209376406,0.5156255066394806,93,21100,0.11497495323419571,422000,2.46269154548645
6401.71875,381952.5209376406,0.641760379076004,93,21200,0.2560720443725586,424000,2.019857883453369
6401.71875,381952.5209376406,0.9956037057563663,93,21300,1.9533627033233643,426000,0.022372618317604065
6401.71875,381952.5209376406,0.9488537013530731,93,21400,4.603880405426025,428000,0.11847367137670517
6401.71875,381952.5209376406,-0.3673994541168213,93,21500,4.537250518798828,430000,3.595041275024414
6401.71875,381952.5209376406,0.07485997676849365,93,21600,4.656180381774902,432000,4.90981388092041
6405.757575757576,379971.4015068333,0.2713855504989624,93,21700,5.3720831871032715,434000,1.9223531484603882
6405.757575757576,379971.4015068333,0.48065078258514404,93,21800,3.0689234733581543,436000,3.6929221153259277
6405.757575757576,379971.4015068333,0.6455399692058563,93,21900,2.9718613624572754,438000,2.4300994873046875
