eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
4568.92,8902522.45,84,0.0001795623,0.0009765625,4.715884,-0.0017973129,10.017588,0.45969218015670776,3414,436992,20237.813777537,1747968
4568.92,8902522.45,83,0.00010415647,0.0024414062,4.8621306,-0.003871668,3.3293803,0.793597623705864,3415,437120,20243.940090922002,1748480
4568.92,8902522.45,83,8.851923e-05,0.0,5.0012712,-0.0003611698,4.967086,0.6865643262863159,3416,437248,20250.078293853,1748992
4568.92,8902522.45,83,0.0002632382,0.00048828125,4.9708104,-0.0024503297,4.677293,0.7736175507307053,3417,437376,20256.240213820998,1749504
4564.28,8899063.45,83,0.00016372232,0.00048828125,4.9272184,-0.0014496397,4.9082856,0.8385543674230576,3418,437504,20262.358312458,1750016
4564.28,8899063.45,75,4.7330042e-05,0.0,5.01203,-0.0017995768,3.5095212,0.717786580324173,3419,437632,20269.125651084,1750528
4564.28,8899063.45,82,6.752394e-05,0.0,5.112229,-0.0034811364,3.3979766,0.654166579246521,3420,437760,20275.297120106003,1751040
4564.28,8899063.45,83,0.00012914611,0.0,4.8933306,-0.0011747447,5.1495185,0.8114436864852905,3421,437888,20281.431345909,1751552
4564.28,8899063.45,81,8.1884486e-05,0.0,4.756542,-0.0030492975,4.579533,0.7517295479774475,3422,438016,20287.704236150003,1752064
4564.28,8899063.45,84,9.513337e-05,0.0,4.874332,-0.0012686686,4.492903,0.40773701667785645,3423,438144,20293.767077356,1752576
4564.28,8899063.45,83,5.0535993e-05,0.0,5.0243506,-0.0019338855,2.4614775,0.7610821723937988,3424,438272,20299.86995201,1753088
4564.28,8899063.45,84,6.780853e-05,0.0,4.986285,-0.00081468385,3.9505816,0.5656858086585999,3425,438400,20305.955516840997,1753600
4564.28,8899063.45,81,0.00010160213,0.0,4.802301,-0.00060368644,9.314216,0.19833064079284668,3426,438528,20312.214882889002,1754112
4564.28,8899063.45,82,9.043103e-05,0.0,4.633651,-0.0028890455,9.536205,0.41091465950012207,3427,438656,20318.405905144,1754624
4564.28,8899063.45,84,3.3043114e-05,0.0,4.731214,-0.0011504812,6.4537225,0.5140048563480377,3428,438784,20324.478495853004,1755136
4564.28,8899063.45,79,7.3606774e-05,0.0,4.943148,-0.0009559341,2.6166127,0.7538105100393295,3429,438912,20330.929058555,1755648
4564.28,8899063.45,84,4.9274906e-05,0.0,5.154894,-0.0014464525,4.8824096,0.8668209910392761,3430,439040,20336.986955736003,1756160
4564.28,8899063.45,84,0.00013175406,0.0009765625,5.0498943,-0.002735876,3.1913886,0.8984581604599953,3431,439168,20343.031755052,1756672
4564.28,8899063.45,86,0.0001237059,0.0,5.126532,-0.0020842445,1.8766246,0.8352468013763428,3432,439296,20348.930516180004,1757184
4568.78,8904187.55,84,8.94421e-05,0.0,5.002987,-0.002501606,3.2954266,0.7873765230178833,3433,439424,20354.957299862002,1757696
4568.78,8904187.55,82,0.00022503387,0.0024414062,4.84835,-0.003870235,4.5415006,0.6717356741428375,3434,439552,20361.137062675003,1758208
4564.61,8907260.8,82,0.00013146,0.0,4.799615,-0.0021531323,4.713495,0.645368367433548,3435,439680,20367.313307271,1758720
4564.61,8907260.8,81,3.4042365e-05,0.0,4.841017,-0.00084982376,3.054038,0.8437153846025467,3436,439808,20373.585275002002,1759232
4564.61,8907260.8,82,6.625193e-05,0.0,4.788134,-0.00062618894,13.305885,-0.19944453239440918,3437,439936,20379.762333757,1759744
4564.61,8907260.8,80,9.893134e-05,0.0,4.91431,-0.0005922148,9.331528,0.6471685469150543,3438,440064,20386.122702957004,1760256
4564.61,8907260.8,75,4.8961505e-05,0.0,5.0003695,-0.00078042975,6.0676622,0.6537845134735107,3439,440192,20392.915489358,1760768
