eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
4778.6,697590.5,101,0.008341061,0.35302734,4.7688565,-0.008380047,1.848161,0.03302454948425293,111,14208,727.1311834189983,56832
4778.6,697590.5,102,0.010166169,0.39648438,4.7451415,-0.006252337,0.27317718,0.09851622581481934,112,14336,732.1124489959911,57344
4690.545454545455,696355.9090909091,90,0.005617436,0.31884766,4.7054257,-0.007371046,2.978257,0.05613231658935547,113,14464,737.7417835840024,57856
4690.545454545455,696355.9090909091,93,0.0017017527,0.099609375,4.7622175,-0.0038535604,4.1578937,0.049130022525787354,114,14592,743.2435463469883,58368
4690.545454545455,696355.9090909091,77,0.0030490453,0.16113281,4.732339,-0.012445468,0.5616577,0.05699115991592407,115,14720,749.8850323099759,58880
4690.545454545455,696355.9090909091,92,0.0010438977,0.037109375,4.7331834,-0.0053824913,6.0357113,0.055534541606903076,116,14848,755.4102380719851,59392
4690.545454545455,696355.9090909091,95,0.00485653,0.2421875,4.744291,-0.009597697,1.8896288,0.053073763847351074,117,14976,760.7964308880037,59904
4690.545454545455,696355.9090909091,92,0.007232911,0.2602539,4.647698,0.0012774424,4.760938,-0.010071516036987305,118,15104,766.3207414869976,60416
4690.545454545455,696355.9090909091,94,0.0030796682,0.14453125,4.5979977,-0.010168298,2.028102,0.03572779893875122,119,15232,771.7279813379864,60928
4690.545454545455,696355.9090909091,94,0.010910708,0.40478516,4.5159416,-0.0085106725,2.8841457,0.046427130699157715,120,15360,777.1248714949761,61440
4690.545454545455,696355.9090909091,98,0.0075585633,0.35986328,4.4647517,-0.01542589,2.440269,-0.03754234313964844,121,15488,782.3355714819918,61952
4690.545454545455,696355.9090909091,96,0.0016129735,0.10498047,4.483675,-0.0076352237,4.9729223,0.0680738091468811,122,15616,787.6546756689786,62464
4629.5,696242.0833333334,95,0.009411717,0.31933594,4.425788,0.0008569644,3.6544018,0.021774351596832275,123,15744,793.0036527899792,62976
4583.923076923077,695495.0,85,0.0012997218,0.07128906,4.4701033,-0.005787273,2.059007,0.0035944581031799316,124,15872,798.9902534589928,63488
4583.923076923077,695495.0,94,0.0132188825,0.43359375,4.47876,-0.0064068367,0.6629976,-0.062477946281433105,125,16000,804.4339306459879,64000
4583.923076923077,695495.0,82,0.011297173,0.37304688,4.4611015,0.012743503,2.0747948,-0.023396015167236328,126,16128,810.6078729549772,64512
4583.923076923077,695495.0,83,0.00071976875,0.02734375,4.481908,-0.0046770675,2.0764847,-0.006917595863342285,127,16256,816.7333438369969,65024
4583.923076923077,695495.0,85,0.005625439,0.29101562,4.475069,-0.013910441,0.54830843,-0.036521196365356445,128,16384,822.7226722060004,65536
4583.923076923077,695495.0,86,0.0083643105,0.328125,4.504678,-0.0039883796,2.077472,0.01237708330154419,129,16512,828.6518849929853,66048
